"abbreviation","author_latin","author_english","modern_geographic_identity","ancient_geographic_identity","pleiades_id","century","date_of_birth","date_of_death","floruit","late_antique","christian","reprlat","reprlong"
"Fur.Ant.","Furius Antias, Aulus",,"Anzio, Italy","Antium, Italia","422837","BCE 2-1",,,,"N","N","41.447026950000001","12.6254516"
"Stilo.","Lucius Aelius Stilo",,"Comune di Lanuvio, Lazio, Italy","Lanuvium, Italia","422956","BCE 2-1","c. BCE 150",,,,,"41.674703000000001","12.697592999999999"
"Stilo.","Lucius Aelius Praeconinus Stilo",," ","Lanuvium, Italia","422956","BCE 2-1","c. BCE 150",,,"N","N","41.674703000000001","12.697592999999999"
"Ver.Fl.","Marcus Verrius Flaccus",,"Palestrina, Italy / Rome, Italy","Praeneste, Italia / Roma, Italia","423013 / 423025","BCE 1-CE 1",,,,"N","N",,
"Car.Trium.","Carmina triumphalia",,"Rome, Italy","Roma, Italia","423025",,,,"Republican",,,"41.891737499999998","12.4861685"
"Ser.Samm.","Quintus Serenus Sammonicus",,"Rome, Italy","Roma, Italia","423025","CE 2-3",,"CE 212",,"N","N","41.891737499999998","12.4861685"
"Vargunt.","Quintus Vargunteius",,"Rome, Italy","Roma, Italia","423025","BCE 2",,,,,,"41.891737499999998","12.4861685"
"Labeo (Ant.Lab.)","Marcus Antistius Labeo","Labeo","Rome, Italy","Roma, Italia","423025","BCE 1",,"CE 10/11",,"N","N","41.891737499999998","12.4861685"
"Ant.","Marcus Antonius, triumvir",,"Rome, Italy","Roma, Italia","423025","BCE 1","BCE 83","BCE 30",,,,"41.891737499999998","12.4861685"
"Acro.","Helenius Acro",,"Rome, Italy","Roma, Italia","423025","CE 3",,,,,,"41.891737499999998","12.4861685"
"Brutted.","Bruttedius Niger",,"Rome, Italy","Roma, Italia","423025","CE 1",,,,,,"41.891737499999998","12.4861685"
"Fab.","Faba",,"Rome","Roma","423025",,,,,,,"41.891737499999998","12.4861685"
"Calid.","Marcus Calidius",,"Rome, Italy","Roma, Italia","423025","BCE 1",,"BCE 48",,,,"41.891737499999998","12.4861685"
"Mod.","Herennius Modestinus","Modestin","Rome, Italy","Roma, Italia","423025","CE 3",,,"c. CE 211-235","N","N","41.891737499999998","12.4861685"
"Agap.I(Ps).","Agapetus I, Ps.","Agapetus I, Pope St. ","Rome, Italy","Roma, Italia","423025","CE 6",,"CE 536","CE 535-6","Y","Y","41.891737499999998","12.4861685"
"Agap. I","Agapetus I / Agapitus","Agapetus I, Pope St. ","Rome, Italy","Roma, Italia","423025","CE 6",,"CE 536","CE 535-6","Y","Y","41.891737499999998","12.4861685"
"Rustic.","Rusticus Diaconus",,"Rome, Italy","Roma, Italia","423025","CE 6",,,,"Y","Y","41.891737499999998","12.4861685"
"Minuc.","Marcus Minucius Felix",,"Rome, Italy","Roma, Italia","423025","CE 2-3",,,,"N","Y","41.891737499999998","12.4861685"
"Pac.","Marcus Pacuvius",,"Rome, Italy","Roma, Italia","423025","BCE 2","BCE 220","BCE 130",,"N","N","41.891737499999998","12.4861685"
"Her.Ser.","Heri servus hodie liber",,"Rome","Roma","423025",,,,,,,"41.891737499999998","12.4861685"
"Afran.","Afranius, Lucius",,"Rome, Italy","Roma, Italia","423025","BCE 2",,,,,,"41.891737499999998","12.4861685"
"Pompon.Marc.","Marcus Pomponius Marcellus/Porcellus",,"Rome, Italy","Roma, Italia","423025","CE 1",,,,,,"41.891737499999998","12.4861685"
"L.Afran.","Afranius, Lucius",,"Rome, Italy","Roma, Italia","423025","BCE 1",,,,,,"41.891737499999998","12.4861685"
"Lat.","Marcus Porcius Latro",,"Rome, Italy","Roma, Italia","423025","CE 2",,,,"N","N","41.891737499999998","12.4861685"
"San.","Santra",,"Rome, Italy","Roma, Italia","423025","BCE 1",,,,"N","N","41.891737499999998","12.4861685"
"Nonian.","Marcus Servilius Nonianus",,"Rome, Italy","Roma, Italia","423025","CE 1","c. BCE 3-1","CE 59","c. CE 47",,,"41.891737499999998","12.4861685"
"Bet.Prob.","Faltonia Betitia Proba","Proba","Rome, Italy","Roma, Italia","423025","CE 4",,,,"Y",,"41.891737499999998","12.4861685"
"Cic.","Marcus Tullius Cicero","Cicero","Rome, Italy","Roma, Italia","423025","BCE 1","BCE 106","BCE 43",,"N","N","41.891737499999998","12.4861685"
"Cic(Ps).","Marcus Tullius Cicero, Ps.","Cicero","Rome, Italy","Roma, Italia","423025","BCE 1","BCE 106","BCE 43",,"N","N","41.891737499999998","12.4861685"
"Larg.","Scribonius Largus",,"Rome, Italy","Roma, Italia","423025","CE 1",,,,"N","N","41.891737499999998","12.4861685"
"Traian.Imp.","Marcus Ulpius Traianus Maior",,"Rome, Italy","Roma, Italia","423025","CE 1-2","c. CE 30","before CE 100",,"N","N","41.891737499999998","12.4861685"
"Ars.Bob.","Ars Bobiensis",,"Rome, Italy","Roma, Italia","423025","CE 5",,,,,,"41.891737499999998","12.4861685"
"Mes.Cor.","Marcus Valerius Messalla Corvinus",,"Rome, Italy","Roma, Italia","423025","BCE 1-CE 1","BCE 64","CE 8",,"N","N","41.891737499999998","12.4861685"
"Mes.Ruf.","Marcus Valerius Messalla Rufus",,"Rome, Italy","Roma, Italia","423025","BCE 1",,,"BCE 53","N","N","41.891737499999998","12.4861685"
"Fav.","Favorinus",,"Rome, Italy","Roma, Italia","423025","BCE 2-1",,,"c. BCE 100","N","N","41.891737499999998","12.4861685"
"P.Pompon.","Publius Pomponius Secundus",,"Rome, Italy","Roma, Italia","423025","CE 1",,,,"N","N","41.891737499999998","12.4861685"
"Rut.Lup.","Publius Rutilius Lupus",,"Rome, Italy","Roma, Italia","423025","CE 1",,,"c. CE 20","N","N","41.891737499999998","12.4861685"
"Rut.Ruf.","Publius Rutilius Rufus","Rutilius","Rome, Italy","Roma, Italia","423025","BCE 2-1",,,,"N","N","41.891737499999998","12.4861685"
"Saturius","Publius Saturius",,"Rome, Italy","Roma, Italia","423025","BCE 1",,,,"N","N","41.891737499999998","12.4861685"
"Gracchan.","Gracchanus, Marcus Iunius",,"Rome, Italy","Roma, Italia","423025","BCE 2",,,,"N","N","41.891737499999998","12.4861685"
"C.Gracch.","Gracchus, Gaius Sempronius",,"Rome, Italy","Roma, Italia","423025","BCE 2",,"BCE 121","BCE 123-121","N","N","41.891737499999998","12.4861685"
"Bonif.IV.","Bonifacius IV",,"Rome, Italy","Roma, Italia","423025","CE 7","CE ?","CE 615",,,"Y","41.891737499999998","12.4861685"
"Ambrosiast.","Ambrosiaster","Ambrosiaster","Rome, Italy","Roma, Italia","423025","CE 4","?",,"CE 366-384","Y","Y","41.891737499999998","12.4861685"
"Tryph.","Claudius Tryphoninus","Tryphoninus","Rome, Italy","Roma, Italia","423025","CE 2-3",,,"c. CE 193-217","N","N","41.891737499999998","12.4861685"
"Marcell.Pap.","Marcellinus papa",,"Rome, Italy","Roma, Italia","423025","CE 3",,,,"Y","Y","41.891737499999998","12.4861685"
"Tub.","Quintus Aelius Tubero",,"Rome, Italy","Roma, Italia","423025","BCE 1",,,"BCE 11","N","N","41.891737499999998","12.4861685"
"Asc.","Quintus Asconius Pedianus",,"Rome, Italy","Roma, Italia","423025","CE 1",,,,,,"41.891737499999998","12.4861685"
"Sym.","Quintus Aurelius Symmachus","Symmachus / Eusebius","Rome, Italy","Roma, Italia","423025","CE 4","c. CE 340-345","CE 402",,"Y","N","41.891737499999998","12.4861685"
"Damas.","Damasus papa",,"Rome, Italy","Roma, Italia","423025","CE 4","c. CE 305","CE 384","CE 366-384","Y","Y","41.891737499999998","12.4861685"
"Met.Num.","Quintus Caecilius Metellus Numidicus",,"Rome, Italy","Roma, Italia","423025","BCE 2",,,,"N","N","41.891737499999998","12.4861685"
"Scaev.Cer.","Quintus Ceruidius Scaevola","Scaevola","Rome, Italy","Roma, Italia","423025","CE 2",,,,"N","N","41.891737499999998","12.4861685"
"Greg.-M.","Gregorius I","St. Gregory the Great","Rome, Italy","Roma, Italia","423025","CE 6","CE 540",,,"Y","Y","41.891737499999998","12.4861685"
"Claud.Nero.","Claudius Nero Germanicus, Tiberius","Emperor Claudius I","Rome, Italy","Roma, Italia","423025","CE 1","BCE 10","CE 54","CE 41-54",,"N","41.891737499999998","12.4861685"
"Fab.Pict.","Quintus Fabius Pictor",,"Rome, Italy","Roma, Italia","423025","BCE 3-2",,,,"N",,"41.891737499999998","12.4861685"
"Cato.Utic.","Cato Uticensis, M. Porcius","Cato the Younger","Rome, Italy","Roma, Italia","423025","BCE 1","BCE 95","BCE 46",,,,"41.891737499999998","12.4861685"
"Cato","Cato, Marcus Porcius","Cato the Censor","Rome, Italy","Roma, Italia","423025","BCE 3-2","BCE 234","BCE 149",,,,"41.891737499999998","12.4861685"
"Lutat.","Quintus Lutatius Catulus",,"Rome, Italy","Roma, Italia","423025","BCE 2-1","c. BCE 150","c. BCE 87",,"N","N","41.891737499999998","12.4861685"
"Bonif.V.","Boniface V",,"Rome, Italy","Roma, Italia","423025","CE 7","CE ?","CE 615",,,"Y","41.891737499999998","12.4861685"
"Cloat.","Cloatius Verus",,"Rome, Italy","Roma, Italia","423025","CE 1",,,"BCE 31- CE 14",,"N","41.891737499999998","12.4861685"
"Q.Scaev.","Quintus Mucius Scaevola [pontifex]",,"Rome, Italy","Roma, Italia","423025","BCE 2-1",,,,"N","N","41.891737499999998","12.4861685"
"Hadr.","Hadrianus, Publius Aelius Augustus","Emperor Hadrian","Rome, Italy","Roma, Italia","423025","CE 1-2","CE 76","CE 138","CE 117-138",,"N","41.891737499999998","12.4861685"
"M.Aem.Reg.","Marcus Aemilius Regillus",,"Rome, Italy","Roma, Italia","423025","BCE 3",,"BCE 205",,,,"41.891737499999998","12.4861685"
"Aem.Scaur.","Marcus Aemilius Scaurus",,"Rome, Italy","Roma, Italia","423025","BCE 2","c. BCE 163","c. BCE 89",,"N","N","41.891737499999998","12.4861685"
"Didym.Rom.","Didymus",,"Rome, Italy","Roma, Italia","423025","BCE 1",,,,,,"41.891737499999998","12.4861685"
"Hyg.","Hyginus, Gaius Iulius",,"Rome, Italy","Roma, Italia","423025","BCE 1-CE 1",,,,"N","N","41.891737499999998","12.4861685"
"Censorinus.","Censorinus",,"Rome, Italy","Roma, Italia","423025","CE 3",,,,,,"41.891737499999998","12.4861685"
"Sylv.I","Sylvester I",,"Rome, Italy","Roma, Italia","423025","CE 4",,,,"Y","Y","41.891737499999998","12.4861685"
"Sym.P.","Symmachus Papa",,"Rome, Italy","Roma, Italia","423025","CE 5",,,,"Y","Y","41.891737499999998","12.4861685"
"Nero.","Nero Claudius Caesar Augustus Germanicus","Nero","Rome, Italy","Roma, Italia","423025","CE 1","CE 37","CE 68",,"N","N","41.891737499999998","12.4861685"
"Javol.","Iavolenus Priscus","Javolen","Rome, Italy","Roma, Italia","423025","CE 1-2",,,"CE 81-117?","N","N","41.891737499999998","12.4861685"
"Clem.","Terentius Clemens","Terentius","Rome, Italy","Roma, Italia","423025","CE 2",,,"c. CE 117-138","N","N","41.891737499999998","12.4861685"
"Imp.August.","Imperator Caesar Augustus","Caesar Augustus","Rome, Italy","Roma, Italia","423025","BCE 1 - CE 1","BCE 63","CE 14",,,,"41.891737499999998","12.4861685"
"Tert(Ps).","Tertullianus, Ps.","Tertullian, Ps.","Rome, Italy","Roma, Italia","423025","CE 4",,,,"Y","Y","41.891737499999998","12.4861685"
"Innoc.","Innocentius I",,"Rome, Italy","Roma, Italia","423025","CE 5",,,,"Y","Y","41.891737499999998","12.4861685"
"Herm.","Tiberius Claudius Herma Sideropogon",,"Rome, Italy","Roma, Italia","423025","CE 1",,,,,,"41.891737499999998","12.4861685"
"Novatian.","Novatianus",,"Rome, Italy","Roma, Italia","423025","CE 3",,,,"N","Y","41.891737499999998","12.4861685"
"Bonif.I.","Boniface I",,"Rome, Italy","Roma, Italia","423025","CE 5","CE ?","CE 423","CE 418","Y",,"41.891737499999998","12.4861685"
"Lucr.","Titus Lucretius Carus","Lucretius","Rome, Italy","Roma, Italia","423025","BCE 1","BCE 98","BCE 55",,"N","N","41.891737499999998","12.4861685"
"Antonius.","Antonius, Marcus",,"Rome, Italy","Roma, Italia","423025","BCE 2/1","BCE 143","BCE 87",,,,"41.891737499999998","12.4861685"
"Ioan.IV.","Ioannes IV",,"Rome, Italy","Roma, Italia","423025","CE 7",,,,,"Y","41.891737499999998","12.4861685"
"Traian.Imp.","Traianus Augustus",,"Rome, Italy","Roma, Italia","423025","CE 1-2","CE 53","CE 117",,"N","N","41.891737499999998","12.4861685"
"Ioan.XIX.","Ioannes XIX",,"Rome, Italy","Roma, Italia","423025","CE 11",,"CE 1032 October",,,"Y","41.891737499999998","12.4861685"
"Dion.","Dionysius papa",,"Rome, Italy","Roma, Italia","423025","CE 3",,,,"N","Y","41.891737499999998","12.4861685"
"Con.Poet.","Conviva poetarum et philosophorum",,"Rome","Roma","423025",,,,,,,"41.891737499999998","12.4861685"
"Ioh.I.","Iohannes I",,"Rome, Italy","Roma, Italia","423025","CE 6",,,,"Y","Y","41.891737499999998","12.4861685"
"Ioh.II.","Iohannes II",,"Rome, Italy","Roma, Italia","423025","CE 6",,,,"Y","Y","41.891737499999998","12.4861685"
"Tut.","Tutor",,"Rome","Roma","423025",,,,,,,"41.891737499999998","12.4861685"
"Ioh.III.","Iohannes III",,"Rome, Italy","Roma, Italia","423025","CE 6",,,,"Y","Y","41.891737499999998","12.4861685"
"Papae.","Papae ecclesiae romanae catholicae",,"Rome, Italy","Roma, Italia","423025",,,,,,,"41.891737499999998","12.4861685"
"Dolab.","Dolabella, Publius Cornelius",,"Rome, Italy","Roma, Italia","423025","BCE 1",,"BCE 43","c. BCE 47-3","N","N","41.891737499999998","12.4861685"
"Pap.Just.","Papirius Iustus","Justus","Rome, Italy","Roma, Italia","423025","BCE 2-3",,,"c. CE 138-169","N","N","41.891737499999998","12.4861685"
"Pasch.","Paschasius Diaconus",,"Rome, Italy","Roma, Italia","423025","CE 6",,,,"Y","Y","41.891737499999998","12.4861685"
"Ahenobarbus.","Domitius Ahenobarbus, Gnaeus",,"Rome, Italy","Roma, Italia","423025","BCE 1",,,"BCE 99-90",,,"41.891737499999998","12.4861685"
"Pasch.","Paschasius diaconus",,"Rome, Italy","Roma, Italia","423025","CE 6",,,,"Y","Y","41.891737499999998","12.4861685"
"Dom.In.","Domitius Insanus",,"Rome, Italy","Roma, Italia","423025","CE 1-2",,,,,,"41.891737499999998","12.4861685"
"Val.Max.","Valerius Maximus",,"Rome, Italy","Roma, Italia","423025","CE 1",,,"CE 30","N","N","41.891737499999998","12.4861685"
"Dom.Mars.","Domitius Marsus",,"Rome, Italy","Roma, Italia","423025","BCE 1-CE 1",,,,"N",,"41.891737499999998","12.4861685"
"Bibul.","Bibulus, Lucius Calpurnius",,"Rome, Italy","Roma, Italia","423025","BCE 1","BCE ?","BCE 32",,,,"41.891737499999998","12.4861685"
"Donat.","Donatus, Aelius","Aelius Donatus","Rome, Italy","Roma, Italia","423025","CE 4",,,"CE 350","Y",,"41.891737499999998","12.4861685"
"Car.Priam.","Carmen Priami",,"Rome, Italy","Roma, Italia","423025",,,,"Early Rep.",,,"41.891737499999998","12.4861685"
"Coel.","Coelius Antipater, Lucius",,"Rome, Italy","Roma, Italia","423025","BCE 2",,,"c. BCE 120",,,"41.891737499999998","12.4861685"
"Carm.Evoc.","Auctor Incertus",,"Rome, Italy","Roma, Italia","423025","BCE 3-2",,,,,,"41.891737499999998","12.4861685"
"Dosith.","Dositheus, Magister",,"Rome, Italy","Roma, Italia","423025","CE 4",,,,"Y",,"41.891737499999998","12.4861685"
"Iul.Aqui.","Iulius Aquila","Iulius Aquila","Rome, Italy","Roma, Italia","423025","CE 2",,,"c. CE 193-198","N","N","41.891737499999998","12.4861685"
"Tud.","C. Sempronius Tuditanus",,"Rome, Italy","Roma, Italia","423025","BCE 2",,,"c. BCE 129",,,"41.891737499999998","12.4861685"
"Corn.Sev.","Cornelius Severus",,"Rome, Italy?","Roma, Italia?","423025","BCE 1-CE 1",,,"c. BCE 27-CE 14","N","N","41.891737499999998","12.4861685"
"Ben.-Canon.","Benedictus canonicus",,"Rome, Italy","Roma, Italia","423025","CE 12",,,"c.CE 1140-1145",,"Y","41.891737499999998","12.4861685"
"Iul.I.","Iulius I",,"Rome, Italy","Roma, Italia","423025","CE 4",,,,"Y","Y","41.891737499999998","12.4861685"
"Act.","Actaeon",,"Rome","Roma","423025",,,,,,,"41.891737499999998","12.4861685"
"Duron.","Duronius, Marcus",,"Rome, Italy","Roma, Italia","423025","BCE 2-1",,,"c. BCE 98","N","N","41.891737499999998","12.4861685"
